date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:31:11	30551/30551	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Mar%202020%2001:31:09%20GMT	https://sso.unej.ac.id/cas/login	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/login.html	(from )
08:31:11	719/719	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Mar%202020%2001:31:09%20GMT	https://sso.unej.ac.id/robots.txt		(from )
08:31:12	41065/41065	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css	(from https://sso.unej.ac.id/cas/login)
08:31:12	8916/8916	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202017%2002:52:18%20GMT	https://sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css	(from https://sso.unej.ac.id/cas/login)
08:31:13	7411/7411	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Aug%202019%2010:04:18%20GMT	https://sso.unej.ac.id/cas/themes/unej/css/cas2.css	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/themes/unej/css/cas2.css	(from https://sso.unej.ac.id/cas/login)
08:31:14	60615/60615	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Aug%202019%2010:04:18%20GMT	https://sso.unej.ac.id/cas/themes/unej/css/metro-icons.css	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/themes/unej/css/metro-icons.css	(from https://sso.unej.ac.id/cas/login)
08:31:14	16338/16338	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Aug%202019%2010:04:18%20GMT	https://sso.unej.ac.id/cas/themes/unej/css/metro-responsive.css	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/themes/unej/css/metro-responsive.css	(from https://sso.unej.ac.id/cas/login)
08:31:15	33406/33406	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Aug%202019%2010:04:18%20GMT	https://sso.unej.ac.id/cas/themes/unej/css/metro-schemes.css	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/themes/unej/css/metro-schemes.css	(from https://sso.unej.ac.id/cas/login)
08:31:15	3614/3614	---M--	200	added ('OK')	image/x-icon	date:Wed,%2028%20Aug%202019%2010:04:18%20GMT	https://sso.unej.ac.id/cas/favicon.ico	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/favicon.ico	(from https://sso.unej.ac.id/cas/login)
08:31:16	86962/86962	---M--	200	added ('OK')	application/javascript	date:Tue,%2023%20Jan%202018%2000:12:56%20GMT	https://sso.unej.ac.id/cas/webjars/jquery/3.3.1/jquery.min.js	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/jquery/3.3.1/jquery.min.js	(from https://sso.unej.ac.id/cas/login)
